políticos,amod
y,cc
públicos,conj
cuando,mark
sus,det
compañeros,nsubj
enfrentaron,advcl
represión,obj
.,punct
se,expl:impers
cuestiona,ROOT
por,case
qué,obl
algunas,det
mujeres,nsubj
son,aux
recordadas,csubj
y,cc
otras,conj
no,advmod
.,punct
la,det
reflexión,nsubj
sobre,case
género,nmod
y,cc
memoria,conj
nos,iobj
insta,ROOT
a,mark
explorar,xcomp
distintos,det
puntos,obj
de,case
vista,nmod
de,case
la,det
dictadura,nmod
.,punct
la,det
represión,nsubj
se,expl:pv
manifiesta,ROOT
con,case
aspectos,obl
de,case
género,nmod
.,punct
"""",punct
género,nsubj
y,cc
memorias,conj
"""",punct
se,expl:pass
incorpora,ROOT
en,case
el,det
libro,obl
de,case
códigos,nmod
:,punct
una,det
manera,appos
única,amod
de,mark
recordar,acl
influenciada,obj
por,case
roles,obj
de,case
género,nmod
.,punct
damos,ROOT
voz,obj
a,case
sujetos,obj
marginados,amod
",",punct
enriqueciendo,advcl
la,det
narrativa,obj
histórica,amod
.,punct
aquí,ROOT
en,case
el,det
paradero,obl
del,case
transporte,nmod
público,amod
",",punct
símbolo,appos
del,case
compañero,nmod
proletarios,amod
de,case
mi,det
pueblo,nmod
.,punct
con,case
igualdad,nmod
",",punct
perspectiva,ROOT
de,case
género,nmod
y,cc
combativo,conj
.,punct
donde,mark
no,advmod
hay,ROOT
luchas,obj
de,case
clases,nmod
sino,cc
clases,conj
de,case
lucha,nmod
y,cc
traslada,conj
al,case
pueblo,obl
por,case
las,det
abiertas,amod
y,cc
grandes,conj
alamedas,obl
.,punct
traductor,ROOT
.,punct
esperando,ROOT
micro,ROOT
revive,ROOT
el,det
seminario,nsubj
:,punct
“,nsubj
¿,punct
tiene,acl
género,obj
el,det
cerebro,obj
?,punct
”,appos
realizado,flat
en,case
conjunto,obl
con,case
@f_soymas,nmod
y,cc
transmitido,conj
por,case
@emoltv,obj
y,cc
youtube,conj
uai,flat
el,det
@ine_chile,nsubj
comienza,ROOT
la,det
recolección,obj
de,case
datos,nmod
de,case
la,det
2ª,nmod
encuesta,flat
nacional,flat
sobre,case
uso,nmod
del,case
tiempo,flat
(,punct
enut,appos
),punct
que,nsubj
contribuye,acl
a,mark
monitorear,xcomp
brechas,obj
de,case
género,nmod
para,mark
diseñar,acl
 ,dep
políticas,obj
públicas,amod
que,nsubj
promuevan,acl
la,det
corresponsabilidad,obj
social,amod
de,case
los,det
cuidados,nmod
",",punct
muy,advmod
bien,ROOT
:,punct
este,det
miércoles,obl
puerto,nsubj
montt,flat
celebrará,advcl
su,det
primera,amod
feria,obj
de,case
diversidad,nmod
sexual,flat
y,cc
de,case
género,conj
.,punct
tenemos,ROOT
una,det
buena,amod
noticia,obj
:,punct
el,det
isp,nsubj
fortalecerá,acl
el,det
control,obj
de,case
productos,nmod
farmacéuticos,amod
para,case
hormonoterapia,nmod
",",punct
gracias,case
a,fixed
la,det
adjudicación,obl
del,case
fondo,nmod
de,case
transversalización,flat
de,case
género,flat
del,case
@minmujeryeg,flat
#,flat
chileparatodas,flat
#,appos
minmujeryeg,nmod
en,case
contexto,obl
de,case
las,det
actividades,nmod
organizadas,amod
por,case
nuestra,det
facultad,obj
por,case
la,det
conmemoración,obl
de,case
los,det
50,nummod
años,nmod
del,case
golpe,nmod
de,case
estado,flat
en,case
chile,nmod
",",punct
invitamos,ROOT
a,mark
participar,xcomp
de,case
la,det
clase,obj
abierta,amod
"""",punct
violencia,appos
de,case
género,flat
en,case
dictadura,nmod
"""",punct
",",punct
que,nsubj
dictará,acl
la,det
directora,obj
del,case
centro,nmod
@ddhh_udp,flat
:,punct
lidia,flat
casas,flat
becerra,flat
el,det
subsecretario,nsubj
@rmontero,flat
_,flat
se,expl:pv
reunió,ROOT
con,case
la,det
embajadora,obl
del,case
reino,flat
unido,flat
en,case
chile,obl
",",punct
@louiseadesousa,obj
y,cc
avanzaron,conj
en,case
la,det
coordinación,obl
del,case
próximo,amod
diálogo,nmod
de,case
defensa,flat
bilateral,flat
reino,flat
unido-chile,flat
y,cc
otras,det
oportunidades,conj
de,case
colaboración,nmod
en,case
ciberdefensa,nmod
",",punct
género,conj
",",punct
academia,appos
y,cc
entrenamiento,conj
.,punct
cómo,obl
podría,dep
alice,obj
cooper,ROOT
un,det
señor,obj
de,case
75,nummod
años,nmod
saber,advcl
la,det
diferencia,obj
entre,case
género,nmod
y,cc
sexo,conj
",",punct
a,mark
ver,advcl
cómo,obl
.,punct
no,advmod
se,expl:pass
pa,mark
qué,nsubj
les,obj
preguntan,ROOT
estas,det
cosas,nsubj
a,case
gente,obj
que,nsubj
no,advmod
está,cop
preparada,acl
por,case
edad,obl
ni,cc
por,case
generación,conj
",",punct
mi,det
tata,nsubj
habría,aux
respondido,advcl
lo,det
mismo,obj
y,cc
no,advmod
por,case
eso,obl
era,cop
un,det
homofobico,conj
.,punct
u.,nsubj
mayor,flat
presentó,ROOT
su,det
proyecto,obj
ines,appos
género,flat
",",punct
que,nsubj
buscará,acl
disminuir,xcomp
las,det
brechas,obj
en,case
la,det
investigación,obl
panel,ROOT
de,case
conversación,nmod
sobre,case
informe,nmod
de,case
género,flat
de,case
la,det
@cmfchile,flat
_,flat
participan,flat
:,punct
josé,flat
de,case
gregorio,flat
solange,flat
berstein,flat
y,cc
nuestra,det
destacada,amod
egresada,conj
y,cc
directora,conj
de,case
empresas,nmod
karen,flat
ergas,flat
.,punct
¿,punct
conoces,ROOT
las,det
estadísticas,nsubj
de,case
género,nmod
para,case
chile,flat
que,mark
difunde,acl
el,det
banco,nsubj
central,flat
?,punct
visita,ROOT
la,det
selección,obj
de,case
gráficos,nmod
interactivos,amod
agrupados,amod
en,case
cuatro,nummod
ámbitos,obl
:,punct
estadísticas,appos
vitales,amod
",",punct
empleo,conj
",",punct
economía-finanzas,conj
y,cc
emprendimiento,conj
.,punct
¡,punct
hoy,ROOT
!,punct
|,dep
ciclo,flat
de,case
cine,flat
"""",punct
derecho,conj
",",punct
género,conj
y,cc
sociedad,conj
"""",punct
-,punct
función,nsubj
4,nummod
a,case
las,det
18:00,obl
hrs,conj
.,punct
patio,ROOT
central,flat
facultad,flat
de,case
derecho,flat
ahora,ROOT
en,case
vivo,fixed
el,det
lanzamiento,ROOT
del,case
informe,nmod
de,case
género,flat
de,case
la,det
@cmfchile,flat
_,flat
en,case
la,det
@fenuchile,nmod
violencia,nsubj
de,case
género,flat
en,case
dictadura,nmod
martes,flat
5,compound
de,case
septiembre,compound
15:00,nummod
hrs,ROOT
república,obj
105,obl
",",punct
auditorio,dep
la,det
actividad,nsubj
se,expl:pass
inicia,advcl
con,case
la,det
exhibición,obl
del,case
memorial,nmod
camarín,flat
de,case
mujeres,flat
",",punct
estadio,appos
nacional,flat
y,cc
luego,advmod
una,det
clase,conj
abierta,amod
impartida,amod
por,case
nuestra,det
directora,obj
",",punct
la,det
prof.,appos
lidia,appos
casas,flat
¡,punct
atención,dep
investigadoras,flat
e,cc
investigadores,conj
de,case
nuestra,det
universidad,nmod
!,punct
el,det
centro,nsubj
para,case
la,det
transversalización,flat
de,case
género,flat
en,case
i+d+i+e,nmod
de,case
la,det
@autonomadechile,nmod
te,expl:pv
ayuda,ROOT
a,mark
incorporar,xcomp
la,det
#,nummod
perspectivadegénero,obj
en,case
tu,det
investigación,obl
judith,ROOT
alfaro,flat
",",punct
directora,appos
de,case
la,det
csc_sfi,nmod
y,cc
de,case
la,det
cut,conj
valparaíso,flat
",",punct
junto,case
a,fixed
dirigentes,nmod
de,case
sindicatos,nmod
base,amod
de,case
valparaíso,nmod
",",punct
en,case
el,det
conversatorio,nmod
"""",punct
desafíos,flat
de,case
la,det
dir,flat
.,punct
del,case
trabajo,ROOT
en,case
el,det
marco,nmod
del,case
trabajo,flat
decente,flat
y,cc
el,det
enfoque,conj
de,case
género,flat
"""",punct
",",punct
con,case
el,det
director,nmod
nacional,flat
del,case
